Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
90,"Sunday, Jul 16",boxscore,CHW,,SEA,L,6,7,10,38-52,5,9,Vincent,Beck,Diaz,3:22,D,"24,502",----
91,"Tuesday, Jul 18",boxscore,CHW,,LAD,L,0,1,,38-53,5,9.5,Kershaw,Gonzalez,Jansen,3:21,N,"23,088",-----
92,"Wednesday, Jul 19",boxscore,CHW,,LAD,L,1,9,8,38-54,5,9.5,Maeda,Rodon,,2:58,N,"24,907",------
93,"Friday, Jul 21",boxscore,CHW,@,KCR,L-wo,6,7,10,38-55,5,10.5,Feliz,Clippard,,4:10,N,"29,647",-------
94,"Saturday, Jul 22",boxscore,CHW,@,KCR,L,2,7,,38-56,5,11.5,Alexander,Holmberg,,3:20,N,"34,088",--------
95,"Sunday, Jul 23",boxscore,CHW,@,KCR,L-wo,4,5,,38-57,5,12.5,Herrera,Infante,,3:07,D,"23,184",---------
96,"Monday, Jul 24",boxscore,CHW,@,CHC,W,3,1,,39-57,5,12.5,Gonzalez,Grimm,Swarzak,3:17,D,"40,849",+
97,"Tuesday, Jul 25",boxscore,CHW,@,CHC,L,2,7,,39-58,5,13.5,Lackey,Rodon,,3:38,D,"40,717",-
98,"Wednesday, Jul 26",boxscore,CHW,,CHC,L,3,8,,39-59,5,14.5,Arrieta,Shields,,3:53,N,"38,517",--
99,"Thursday, Jul 27",boxscore,CHW,,CHC,L,3,6,,39-60,5,15.5,Lester,Pelfrey,,2:37,N,"39,422",---
100,"Friday, Jul 28",boxscore,CHW,,CLE,L,3,9,,39-61,5,16.5,Salazar,Holland,,3:21,N,"20,387",----
101,"Saturday, Jul 29",boxscore,CHW,,CLE,L,4,5,,39-62,5,17.5,Miller,Bummer,Allen,3:46,N,"30,115",-----
102,"Sunday, Jul 30",boxscore,CHW,,CLE,W-wo,3,1,,40-62,5,16.5,Clippard,Shaw,,2:56,D,"28,152",+
103,"Monday, Jul 31",boxscore,CHW,,TOR,W-wo,7,6,,41-62,5,15.5,Beck,Osuna,,3:01,N,"13,023",++
Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
104,"Tuesday, Aug 1",boxscore,CHW,,TOR,L,4,8,,41-63,5,15.5,Stroman,Pelfrey,,3:22,N,"14,622",-
105,"Wednesday, Aug 2",boxscore,CHW,,TOR,L,1,5,,41-64,5,16,Happ,Holland,Osuna,3:15,D,"20,878",--
106,"Thursday, Aug 3",boxscore,CHW,@,BOS,L,5,9,,41-65,5,17,Porcello,Gonzalez,,3:26,N,"37,442",---
107,"Friday, Aug 4",boxscore,CHW,@,BOS,L-wo,2,3,11,41-66,5,18,Hembree,Bummer,,3:43,N,"36,612",----
108,"Saturday, Aug 5",boxscore,CHW,@,BOS,L,1,4,,41-67,5,18,Pomeranz,Shields,Kimbrel,2:41,N,"36,599",-----
109,"Sunday, Aug 6",boxscore,CHW,@,BOS,L,3,6,,41-68,5,18,Fister,Pelfrey,Kimbrel,2:36,D,"37,283",------
110,"Tuesday, Aug 8",boxscore,CHW,,HOU,W,8,5,,42-68,5,18,Holland,Keuchel,Clippard,3:37,N,"13,974",+
111,"Wednesday, Aug 9",boxscore,CHW,,HOU,W,7,1,,43-68,5,17,Gonzalez,McHugh,,2:54,N,"14,824",++
112,"Thursday, Aug 10",boxscore,CHW,,HOU,W-wo,3,2,11,44-68,5,16,Holmberg,Martes,,3:41,N,"18,034",+++
