Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
88,"Sunday, Jul 9",boxscore,TEX,,LAA,L,0,3,,43-45,2,16.5,Ramirez,Darvish,Norris,3:08,D,"28,384",-
89,"Friday, Jul 14",boxscore,TEX,@,KCR,W,5,3,,44-45,2,16.5,Perez,Minor,Claudio,2:58,N,"35,591",+
90,"Saturday, Jul 15",boxscore,TEX,@,KCR,W,1,0,,45-45,2,15.5,Leclerc,Duffy,Claudio,2:32,N,"32,907",++
91,"Sunday, Jul 16",boxscore,TEX,@,KCR,L-wo,3,4,,45-46,2,16.5,Herrera,Grilli,,3:11,D,"23,163",-
92,"Monday, Jul 17",boxscore,TEX,@,BAL,L,1,3,,45-47,3,16.5,Bleier,Cashner,Brach,2:55,N,"14,922",--
93,"Tuesday, Jul 18",boxscore,TEX,@,BAL,L,1,12,,45-48,3,17.5,Bundy,Ross,,3:23,N,"18,119",---
94,"Wednesday, Jul 19",boxscore,TEX,@,BAL,L,2,10,,45-49,4,17.5,Gausman,Perez,,2:50,N,"15,693",----
95,"Thursday, Jul 20",boxscore,TEX,@,BAL,L,7,9,,45-50,4,18,Castro,Hamels,,3:11,N,"14,691",-----
96,"Friday, Jul 21",boxscore,TEX,@,TBR,W,4,3,10,46-50,3,18,Claudio,Boxberger,,3:10,N,"24,461",+
97,"Saturday, Jul 22",boxscore,TEX,@,TBR,W,4,3,,47-50,3,18,Cashner,Archer,Claudio,2:56,N,"20,568",++
98,"Sunday, Jul 23",boxscore,TEX,@,TBR,W,6,5,,48-50,2,17,Bush,Boxberger,Leclerc,3:54,D,"16,954",+++
99,"Monday, Jul 24",boxscore,TEX,,MIA,L,0,4,,48-51,4,18,Conley,Perez,,2:34,N,"24,654",-
100,"Tuesday, Jul 25",boxscore,TEX,,MIA,W,10,4,,49-51,3,18,Hamels,Straily,,2:54,N,"25,074",+
101,"Wednesday, Jul 26",boxscore,TEX,,MIA,L,10,22,,49-52,3,18,Urena,Darvish,,4:02,N,"26,471",-
102,"Friday, Jul 28",boxscore,TEX,,BAL,W,8,2,,50-52,2,18,Cashner,Tillman,,3:02,N,"36,270",+
