Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
95,"Thursday, Jul 20",boxscore,STL,@,NYM,L-wo,2,3,,46-49,4,4.5,Reed,Rosenthal,,2:47,D,"39,640",--
96,"Friday, Jul 21",boxscore,STL,@,CHC,W,11,4,,47-49,4,3.5,Bowman,Edwards,,3:17,D,"42,186",+
97,"Saturday, Jul 22",boxscore,STL,@,CHC,L,2,3,,47-50,4,4.5,Lester,Bowman,Davis,2:34,D,"41,969",-
98,"Sunday, Jul 23",boxscore,STL,@,CHC,L,3,5,,47-51,4,4.5,Quintana,Wacha,Davis,2:50,N,"41,582",--
99,"Monday, Jul 24",boxscore,STL,,COL,W,8,2,,48-51,4,4,Leake,Senzatela,,2:50,N,"40,486",+
100,"Tuesday, Jul 25",boxscore,STL,,COL,W-wo,3,2,,49-51,4,4,Rosenthal,McGee,,3:11,N,"41,514",++
101,"Wednesday, Jul 26",boxscore,STL,,COL,W,10,5,,50-51,3,3.5,Martinez,Hoffman,,3:23,N,"38,162",+++
102,"Thursday, Jul 27",boxscore,STL,,ARI,L,0,4,,50-52,3,4.5,Godley,Weaver,,2:47,N,"39,208",-
103,"Friday, Jul 28",boxscore,STL,,ARI,W,1,0,,51-52,3,3.5,Wacha,McFarland,Rosenthal,3:10,N,"41,230",+
104,"Saturday, Jul 29",boxscore,STL,,ARI,L,1,7,,51-53,3,4.5,Greinke,Leake,,3:12,N,"48,052",-
105,"Sunday, Jul 30",boxscore,STL,,ARI,W,3,2,,52-53,3,4.5,Lynn,Walker,Rosenthal,3:06,D,"40,827",+
Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
106,"Tuesday, Aug 1",boxscore,STL,@,MIL,L,2,3,,52-54,3,5.5,Nelson,Martinez,Knebel,3:01,N,"30,150",-
107,"Wednesday, Aug 2",boxscore,STL,@,MIL,W,5,4,,53-54,3,4.5,Weaver,Suter,Rosenthal,2:58,N,"34,433",+
108,"Thursday, Aug 3",boxscore,STL,@,MIL,L,1,2,,53-55,3,4.5,Garza,Cecil,Knebel,3:21,D,"40,170",-
109,"Friday, Aug 4",boxscore,STL,@,CIN,L,2,3,,53-56,3,4.5,Wojciechowski,Leake,Iglesias,2:48,N,"36,443",--
110,"Saturday, Aug 5",boxscore,STL,@,CIN,W,4,1,,54-56,3,4.5,Lynn,Castillo,Rosenthal,3:01,N,"35,571",+
111,"Sunday, Aug 6",boxscore,STL,@,CIN,W,13,4,,55-56,3,3.5,Cecil,Bailey,,3:10,D,"25,168",++
112,"Monday, Aug 7",boxscore,STL,@,KCR,W,11,3,,56-56,3,3.5,Martinez,Kennedy,,2:32,N,"38,478",+++
113,"Tuesday, Aug 8",boxscore,STL,@,KCR,W,10,3,,57-56,3,2.5,Wacha,Vargas,,3:02,N,"37,267",++++
114,"Wednesday, Aug 9",boxscore,STL,,KCR,W,8,5,,58-56,2,1.5,Bowman,Maurer,Rosenthal,3:15,N,"44,139",+++++
115,"Thursday, Aug 10",boxscore,STL,,KCR,W,8,6,,59-56,2,1,Lyons,Minor,Rosenthal,3:37,N,"41,706",++++++
116,"Friday, Aug 11",boxscore,STL,,ATL,W,8,5,,60-56,2,1,Wainwright,Foltynewicz,Bowman,3:08,N,"41,928",+++++++
117,"Saturday, Aug 12",boxscore,STL,,ATL,W,6,5,,61-56,1,Tied,Martinez,Sims,Rosenthal,2:52,N,"46,360",++++++++
118,"Sunday, Aug 13",boxscore,STL,,ATL,L,3,6,,61-57,2,1,Dickey,Wacha,Vizcaino,2:58,D,"44,534",-
119,"Tuesday, Aug 15",boxscore,STL,@,BOS,L,4,10,,61-58,2,1.5,Porcello,Leake,,2:52,N,"37,345",--
120,"Wednesday, Aug 16",boxscore,STL,@,BOS,L-wo,4,5,,61-59,3,2.5,Kimbrel,Duke,,3:35,N,"37,181",---
121,"Thursday, Aug 17",boxscore,STL,@,PIT,W,11,7,,62-59,3,1.5,Tuivailala,Benoit,,3:36,N,"31,499",+
122,"Friday, Aug 18",boxscore,STL,@,PIT,W,11,10,,63-59,2,1.5,Martinez,Williams,Oh,3:23,N,"29,906",++
123,"Saturday, Aug 19",boxscore,STL,@,PIT,L,4,6,,63-60,3,2.5,Kuhl,Wacha,Rivero,2:49,D,"34,660",-
124,"Sunday, Aug 20",boxscore,STL,@,PIT,L,3,6,,63-61,3,3.5,Nova,Leake,Rivero,2:58,N,"2,596",--
125,"Tuesday, Aug 22",boxscore,STL,,SDP,L,4,12,,63-62,3,4.5,Stammen,Bowman,,3:04,N,"38,767",---
126,"Wednesday, Aug 23",boxscore,STL,,SDP,W,6,2,,64-62,3,4.5,Weaver,Chacin,,2:53,N,"38,762",+
127,"Thursday, Aug 24",boxscore,STL,,SDP,L,3,4,,64-63,3,4.5,Yates,Tuivailala,Hand,3:06,N,"38,726",-
128,"Friday, Aug 25",boxscore,STL,,TBR,L,3,7,,64-64,3,4.5,Romo,Wacha,,3:38,N,"40,050",--
129,"Saturday, Aug 26",boxscore,STL,,TBR,W-wo,6,4,,65-64,3,4.5,Lyons,Boxberger,,2:30,N,"41,295",+
130,"Sunday, Aug 27",boxscore,STL,,TBR,L,2,3,10,65-65,3,4.5,Romo,Tuivailala,Colome,3:33,D,"44,469",-
131,"Tuesday, Aug 29",boxscore,STL,@,MIL,W,10,2,,66-65,3,5,Weaver,Garza,,3:33,N,"31,985",+
132,"Wednesday, Aug 30",boxscore,STL,@,MIL,L,5,6,,66-66,3,6,Anderson,Martinez,Knebel,2:40,D,"28,964",-
133,"Thursday, Aug 31",boxscore,STL,@,SFG,W,5,2,,67-66,3,6,Wacha,Cain,Oh,3:17,N,"40,783",+
Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
134,"Friday, Sep 1",boxscore,STL,@,SFG,W,11,6,,68-66,3,6,Lyons,Dyson,,3:23,N,"37,797",++
135,"Saturday, Sep 2",boxscore,STL,@,SFG,L-wo,1,2,10,68-67,3,7,Dyson,Sherriff,,2:58,D,"39,513",-
136,"Sunday, Sep 3",boxscore,STL,@,SFG,W,7,3,,69-67,3,6,Weaver,Bumgarner,,2:45,D,"39,784",+
137,"Monday, Sep 4",boxscore,STL,@,SDP,W,2,0,,70-67,3,5,Martinez,Perdomo,,2:23,D,"25,028",++
138,"Tuesday, Sep 5",boxscore,STL,@,SDP,W,8,4,,71-67,3,4,Wacha,Wood,,2:47,N,"17,806",+++
139,"Wednesday, Sep 6",boxscore,STL,@,SDP,W,3,1,,72-67,2,4,Sherriff,Lamet,Lyons,2:58,N,"21,411",++++
140,"Thursday, Sep 7",boxscore,STL,@,SDP,L,0,3,,72-68,2,5,Richard,Lynn,Hand,3:03,N,"21,334",-
141,"Friday, Sep 8",boxscore,STL,,PIT,W,4,1,,73-68,2,4,Weaver,Williams,Nicasio,2:58,N,"40,966",+
142,"Saturday, Sep 9",boxscore,STL,,PIT,W,4,3,,74-68,2,3,Lyons,Kontos,Nicasio,2:55,N,"44,378",++
143,"Sunday, Sep 10",boxscore,STL,,PIT,W,7,0,,75-68,2,2,Wacha,Nova,,2:35,D,"44,683",+++
144,"Tuesday, Sep 12",boxscore,STL,,CIN,W,13,4,,76-68,2,2,Lynn,Stephenson,,3:04,N,"40,030",++++
145,"Wednesday, Sep 13",boxscore,STL,,CIN,L,0,6,,76-69,3,3,Mahle,Flaherty,,2:40,N,"40,124",-
146,"Thursday, Sep 14",boxscore,STL,,CIN,W,5,2,,77-69,2,3,Weaver,Garrett,,2:50,D,"40,230",+
147,"Friday, Sep 15",boxscore,STL,@,CHC,L,2,8,,77-70,3,4,Edwards,Martinez,,3:07,D,"38,464",-
148,"Saturday, Sep 16",boxscore,STL,@,CHC,L,1,4,,77-71,3,5,Hendricks,Wacha,Davis,2:49,D,"40,959",--
149,"Sunday, Sep 17",boxscore,STL,@,CHC,L,3,4,,77-72,3,6,Strop,Lyons,Davis,3:44,D,"37,242",---
150,"Tuesday, Sep 19",boxscore,STL,@,CIN,W,8,7,10,78-72,3,6,Nicasio,Adleman,Lyons,3:23,N,"17,165",+
151,"Wednesday, Sep 20",boxscore,STL,@,CIN,W,9,2,,79-72,3,5,Weaver,Davis,,2:47,N,"12,903",++
152,"Thursday, Sep 21",boxscore,STL,@,CIN,W,8,5,,80-72,3,5,Martinez,Bailey,,3:12,N,"14,903",+++
153,"Friday, Sep 22",boxscore,STL,@,PIT,W,4,3,,81-72,2,5,Nicasio,Rivero,,3:16,N,"23,942",++++
154,"Saturday, Sep 23",boxscore,STL,@,PIT,L,6,11,,81-73,3,5,Cole,Lynn,,3:20,N,"29,672",-
155,"Sunday, Sep 24",boxscore,STL,@,PIT,L,1,4,,81-74,3,6,Taillon,Oh,Rivero,2:56,D,"28,550",--
156,"Monday, Sep 25",boxscore,STL,,CHC,L,2,10,,81-75,3,7,Lester,Weaver,,3:11,N,"42,516",---
157,"Tuesday, Sep 26",preview,STL,,CHC,8:15 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
158,"Wednesday, Sep 27",preview,STL,,CHC,7:08 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
159,"Thursday, Sep 28",preview,STL,,CHC,7:15 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
160,"Friday, Sep 29",preview,STL,,MIL,8:15 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
161,"Saturday, Sep 30",preview,STL,,MIL,4:15 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
162,"Sunday, Oct 1",preview,STL,,MIL,3:15 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
Gm#,Date,,Tm,,Opp,,,,,,,,,,,,,,D/N
