Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
82,"Tuesday, Jul 4",boxscore,PHI,,PIT,L,0,3,,28-54,5,21,Taillon,Leiter,Rivero,3:01,D,"24,087",-
83,"Wednesday, Jul 5",boxscore,PHI,,PIT,L,2,5,,28-55,5,21.5,Cole,Lively,Rivero,3:16,N,"19,099",--
84,"Thursday, Jul 6",boxscore,PHI,,PIT,L,3,6,,28-56,5,21.5,Kuhl,Benoit,Nicasio,2:58,N,"33,059",---
85,"Friday, Jul 7",boxscore,PHI,,SDP,L,3,4,,28-57,5,22.5,Hand,Neris,Maurer,2:41,N,"38,533",----
86,"Saturday, Jul 8",boxscore,PHI,,SDP,L,1,2,,28-58,5,22.5,Chacin,Nola,Maurer,2:30,D,"33,216",-----
87,"Sunday, Jul 9",boxscore,PHI,,SDP,W,7,1,,29-58,5,22.5,Eickhoff,Cahill,,2:45,D,"21,184",+
88,"Friday, Jul 14",boxscore,PHI,@,MIL,L,6,9,,29-59,5,23.5,Davies,Pivetta,Knebel,3:10,N,"41,941",-
89,"Saturday, Jul 15",boxscore,PHI,@,MIL,L,2,3,,29-60,5,24.5,Barnes,Benoit,Knebel,2:44,N,"37,950",--
90,"Sunday, Jul 16",boxscore,PHI,@,MIL,W,5,2,,30-60,5,24.5,Hellickson,Scahill,Neris,3:18,D,"41,747",+
91,"Monday, Jul 17",boxscore,PHI,@,MIA,L-wo,5,6,10,30-61,5,25.5,Steckenrider,Leiter,,3:41,N,"17,146",-
92,"Tuesday, Jul 18",boxscore,PHI,@,MIA,W,5,2,,31-61,5,25.5,Neshek,McGowan,Neris,2:41,N,"18,176",+
93,"Wednesday, Jul 19",boxscore,PHI,@,MIA,W,10,3,,32-61,5,24.5,Pivetta,Straily,,3:04,D,"31,854",++
94,"Friday, Jul 21",boxscore,PHI,,MIL,W,6,1,,33-61,5,23.5,Nola,Garza,,3:02,N,"17,550",+++
95,"Saturday, Jul 22",boxscore,PHI,,MIL,L,8,9,,33-62,5,24.5,Barnes,Neris,Knebel,3:24,N,"17,712",-
96,"Sunday, Jul 23",boxscore,PHI,,MIL,W,6,3,,34-62,5,24.5,Eickhoff,Guerra,Garcia,3:07,D,"21,258",+
97,"Monday, Jul 24",boxscore,PHI,,HOU,L,4,13,,34-63,5,25,Musgrove,Velasquez,,3:27,N,"17,567",-
98,"Tuesday, Jul 25",boxscore,PHI,,HOU,L,0,5,,34-64,5,25,Morton,Pivetta,,2:44,N,"17,176",--
99,"Wednesday, Jul 26",boxscore,PHI,,HOU,W,9,0,,35-64,5,25,Nola,Fiers,,3:25,N,"19,718",+
100,"Friday, Jul 28",boxscore,PHI,,ATL,W,10,3,,36-64,5,25,Thompson,Teheran,Benoit,3:01,N,"17,177",++
101,"Saturday, Jul 29",boxscore,PHI,,ATL,W-wo,4,3,11,37-64,5,24,Neris,Brothers,,3:50,N,"28,162",+++
102,"Sunday, Jul 30",boxscore,PHI,,ATL,W-wo,2,1,,38-64,5,23.5,Neris,Brothers,,3:20,D,"20,680",++++
103,"Monday, Jul 31",boxscore,PHI,,ATL,W,7,6,,39-64,5,23.5,Pivetta,Foltynewicz,Neris,3:13,D,"20,297",+++++
Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
104,"Tuesday, Aug 1",boxscore,PHI,@,LAA,L,1,7,,39-65,5,23.5,Nolasco,Nola,,3:20,N,"36,344",-
105,"Wednesday, Aug 2",boxscore,PHI,@,LAA,L,0,7,,39-66,5,23.5,Ramirez,Thompson,,2:33,N,"34,623",--
106,"Thursday, Aug 3",boxscore,PHI,@,LAA,L,4,5,,39-67,5,24,Petit,Garcia,Norris,3:07,N,"34,710",---
107,"Friday, Aug 4",boxscore,PHI,@,COL,L,3,4,,39-68,5,25,Dunn,Garcia,Holland,3:41,N,"35,092",----
108,"Saturday, Aug 5",boxscore,PHI,@,COL,L,5,8,,39-69,5,25,Gray,Pivetta,,2:53,N,"40,563",-----
109,"Sunday, Aug 6",boxscore,PHI,@,COL,W,3,2,,40-69,5,25,Ramos,Holland,Neris,3:14,D,"48,069",+
110,"Tuesday, Aug 8",boxscore,PHI,@,ATL,W,5,2,,41-69,5,24.5,Eflin,Teheran,Neris,2:58,N,"25,783",++
111,"Wednesday, Aug 9",boxscore,PHI,@,ATL,W,3,2,,42-69,5,24.5,Eickhoff,Newcomb,Neris,2:55,N,"22,776",+++
112,"Thursday, Aug 10",boxscore,PHI,,NYM,L,0,10,,42-70,5,25.5,deGrom,Velasquez,,3:03,N,"27,716",-
113,"Friday, Aug 11",boxscore,PHI,,NYM,L,6,7,,42-71,5,26,Robles,Neris,Ramos,3:25,N,"26,925",--
114,"Saturday, Aug 12",boxscore,PHI,,NYM,W,3,1,,43-71,5,26,Nola,Matz,Garcia,3:04,N,"34,131",+
115,"Sunday, Aug 13",boxscore,PHI,,NYM,L,2,6,,43-72,5,26.5,Flexen,Eflin,,3:30,D,"24,106",-
116,"Monday, Aug 14",boxscore,PHI,@,SDP,L,4,7,,43-73,5,27,Torres,Pinto,Hand,3:20,N,"20,873",--
117,"Tuesday, Aug 15",boxscore,PHI,@,SDP,L,4,8,,43-74,5,28,Lamet,Leiter,,2:48,N,"23,368",---
118,"Wednesday, Aug 16",boxscore,PHI,@,SDP,L,0,3,,43-75,5,28,Richard,Pivetta,,2:30,D,"21,564",----
119,"Thursday, Aug 17",boxscore,PHI,@,SFG,L,4,5,,43-76,5,29,Samardzija,Nola,Dyson,2:47,N,"41,279",-----
120,"Friday, Aug 18",boxscore,PHI,@,SFG,L,2,10,,43-77,5,30,Moore,Eflin,,2:52,N,"39,487",------
121,"Saturday, Aug 19",boxscore,PHI,@,SFG,W,12,9,,44-77,5,29,Morgan,Blach,Neris,3:21,N,"40,719",+
122,"Sunday, Aug 20",boxscore,PHI,@,SFG,W,5,2,,45-77,5,29,Morgan,Strickland,Neris,3:14,D,"39,921",++
123,"Tuesday, Aug 22 (1)",boxscore,PHI,,MIA,L,8,12,,45-78,5,30.5,Straily,Nola,,3:06,N,,-
124,"Tuesday, Aug 22 (2)",boxscore,PHI,,MIA,L,4,7,,45-79,5,30.5,Urena,Pivetta,Ziegler,3:22,N,"20,761",--
125,"Wednesday, Aug 23",boxscore,PHI,,MIA,W,8,0,,46-79,5,29.5,Leiter,Nicolino,,2:50,N,"19,161",+
126,"Thursday, Aug 24",boxscore,PHI,,MIA,L,8,9,,46-80,5,30.5,Garcia,Garcia,Ziegler,3:14,D,"18,083",-
127,"Friday, Aug 25",boxscore,PHI,,CHC,W,7,1,,47-80,5,29.5,Eickhoff,Quintana,,3:00,N,"24,424",+
128,"Saturday, Aug 26",boxscore,PHI,,CHC,L,2,17,,47-81,5,30.5,Hendricks,Lively,,3:03,N,"29,379",-
129,"Sunday, Aug 27",boxscore,PHI,,CHC,W,6,3,,48-81,5,30,Pivetta,Lackey,Neris,2:54,D,"28,689",+
130,"Monday, Aug 28",boxscore,PHI,,ATL,W,6,1,,49-81,5,30,Nola,Sims,,2:52,N,"15,154",++
131,"Wednesday, Aug 30 (1)",boxscore,PHI,,ATL,L,1,9,,49-82,5,32,Dickey,Eickhoff,,2:49,D,,-
132,"Wednesday, Aug 30 (2)",boxscore,PHI,,ATL,L,2,5,,49-83,5,32,Teheran,Leiter,Vizcaino,3:17,D,"15,706",--
133,"Thursday, Aug 31",boxscore,PHI,@,MIA,W,3,2,,50-83,5,31,Lively,Despaigne,Neris,3:09,N,"17,013",+
Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
134,"Friday, Sep 1",boxscore,PHI,@,MIA,W,2,1,,51-83,5,30,Nicasio,Ziegler,Neris,2:44,N,"17,998",++
135,"Saturday, Sep 2",boxscore,PHI,@,MIA,L,9,10,,51-84,5,31,Straily,Nola,Steckenrider,3:37,N,"18,262",-
136,"Sunday, Sep 3",boxscore,PHI,@,MIA,W,3,1,12,52-84,5,30,Morgan,Tazawa,Neris,3:46,D,"19,404",+
137,"Monday, Sep 4",boxscore,PHI,@,NYM,L,7,11,,52-85,5,31,Montero,Leiter,,3:18,D,"28,808",-
138,"Tuesday, Sep 5",boxscore,PHI,@,NYM,W,9,1,,53-85,5,31,Lively,deGrom,,3:04,N,"22,230",+
139,"Wednesday, Sep 6",boxscore,PHI,@,NYM,L,3,6,6,53-86,5,32,Gsellman,Pivetta,,1:53,N,"19,617",-
140,"Thursday, Sep 7",boxscore,PHI,@,WSN,L,3,4,,53-87,5,33,Roark,Morgan,Doolittle,3:09,N,"26,267",--
141,"Friday, Sep 8",boxscore,PHI,@,WSN,L,10,11,,53-88,5,34,Scherzer,Thompson,Doolittle,3:27,N,"29,837",---
142,"Saturday, Sep 9",boxscore,PHI,@,WSN,W,5,4,,54-88,5,33,Leiter,Jackson,Neris,3:23,N,"35,694",+
143,"Sunday, Sep 10",boxscore,PHI,@,WSN,L,2,3,,54-89,5,34,Strasburg,Lively,Madson,2:16,D,"32,627",-
144,"Tuesday, Sep 12",boxscore,PHI,,MIA,W-wo,9,8,15,55-89,5,33,Ramos,Guerra,,4:57,N,"16,439",+
145,"Wednesday, Sep 13",boxscore,PHI,,MIA,W,8,1,,56-89,5,32,Nola,Straily,,2:25,N,"16,745",++
146,"Thursday, Sep 14",boxscore,PHI,,MIA,W,10,0,,57-89,5,32,Thompson,Worley,,3:06,N,"16,302",+++
147,"Friday, Sep 15",boxscore,PHI,,OAK,L,0,4,,57-90,5,32,Mengden,Leiter,,2:43,N,"24,061",-
148,"Saturday, Sep 16",boxscore,PHI,,OAK,W,5,3,,58-90,5,31,Arano,Castro,Neris,2:56,N,"24,290",+
149,"Sunday, Sep 17",boxscore,PHI,,OAK,L,3,6,,58-91,5,32,Manaea,Alvarez,Treinen,3:09,D,"28,054",-
150,"Monday, Sep 18",boxscore,PHI,,LAD,W,4,3,,59-91,5,31.5,Pivetta,Kershaw,Neris,2:40,N,"16,690",+
151,"Tuesday, Sep 19",boxscore,PHI,,LAD,W,6,2,,60-91,5,31.5,Nola,Baez,,3:23,N,"20,145",++
152,"Wednesday, Sep 20",boxscore,PHI,,LAD,W,7,5,,61-91,5,31.5,Garcia,Avilan,Neris,3:18,N,"20,175",+++
153,"Thursday, Sep 21",boxscore,PHI,,LAD,L,4,5,,61-92,5,31.5,Buehler,Pinto,Jansen,3:39,D,"18,735",-
154,"Friday, Sep 22",boxscore,PHI,@,ATL,L,2,7,,61-93,5,31.5,Newcomb,Lively,,2:56,N,"33,702",--
155,"Saturday, Sep 23",boxscore,PHI,@,ATL,L,2,4,,61-94,5,32.5,Brothers,Garcia,Vizcaino,2:50,N,"39,809",---
156,"Sunday, Sep 24",boxscore,PHI,@,ATL,W,2,0,,62-94,5,32.5,Pivetta,Gohara,Neris,2:38,D,"33,183",+
157,"Monday, Sep 25",boxscore,PHI,,WSN,L,1,3,,62-95,5,33.5,Cole,Nola,Doolittle,3:04,N,"17,026",-
158,"Tuesday, Sep 26",preview,PHI,,WSN,7:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
159,"Wednesday, Sep 27",preview,PHI,,WSN,7:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
160,"Friday, Sep 29",preview,PHI,,NYM,7:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
161,"Saturday, Sep 30",preview,PHI,,NYM,7:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
162,"Sunday, Oct 1",preview,PHI,,NYM,3:05 PM,,,"Game Preview, Matchups, and Tickets",,,,,,,,,,
Gm#,Date,,Tm,,Opp,,,,,,,,,,,,,,D/N
